"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"323",2009-01-01,0.226376871267954,0.214089835683505,180,1,27.9714583333333,0.00555555555555556,0.183333333333333,1,2009
"324",2009-01-09,0.131263851809005,0.113640079895655,180,33,28.4475,0.183333333333333,0.327777777777778,1,2009
"325",2009-01-17,0.130512566719618,0.111379654457172,180,59,28.3853385416667,0.327777777777778,0.880434782608696,1,2009
"326",2009-01-25,0.15952700759108,0.158612129092217,184,162,28.1824739583333,0.880434782608696,0.583333333333333,1,2009
"327",2009-02-02,0.127836274552262,0.0938350607951482,180,105,28.717890625,0.583333333333333,0.122222222222222,2,2009
"328",2009-02-10,0.131431268890285,0.114474162459373,180,22,28.8253385416667,0.122222222222222,0.0957446808510638,2,2009
"329",2009-02-18,0.136116515017218,0.116625068088373,188,18,28.4585416666667,0.0957446808510638,0.0722222222222222,2,2009
"330",2009-02-26,0.124170328202573,0.116411134600639,180,13,28.4077083333333,0.0722222222222222,0,2,2009
"331",2009-03-06,0.143627635565483,0.122854060182969,184,0,28.695,0,0.0111111111111111,3,2009
"332",2009-03-14,0.115409058725668,0.102661121636629,180,2,29.263828125,0.0111111111111111,0.15,3,2009
"333",2009-03-22,0.104021275416017,0.0847865926722686,180,27,29.6227604166667,0.15,0.201086956521739,3,2009
"334",2009-03-30,0.101013980184992,0.0822746890286605,184,37,29.3583333333333,0.201086956521739,0.347826086956522,3,2009
"335",2009-04-07,0.122924612058947,0.114327263087034,184,64,29.101953125,0.347826086956522,0.0738636363636364,4,2009
"336",2009-04-15,0.249227746286326,0.272569353381793,176,13,28.6913020833333,0.0738636363636364,0.0797872340425532,4,2009
"337",2009-04-23,0.14964835682056,0.146030083298683,188,15,29.0713541666667,0.0797872340425532,0.25,4,2009
"338",2009-05-01,0.119272788572643,0.109611497571071,180,45,28.8567708333333,0.25,0.0104166666666667,5,2009
"339",2009-05-09,0.110764522622857,0.100136209279299,192,2,28.778984375,0.0104166666666667,0,5,2009
"340",2009-05-17,0.119250598415318,0.101562617967526,192,0,28.572890625,0,0,5,2009
"341",2009-05-25,0.142091688146626,0.115722499787807,180,0,28.04953125,0,0.25414364640884,5,2009
"342",2009-06-02,0.163385503459722,0.153411507606506,181,46,27.650859375,0.25414364640884,0.864130434782609,6,2009
"343",2009-06-10,0.157703229640093,0.14626731723547,184,159,27.7228125,0.864130434782609,0.489773950484392,6,2009
"344",2009-06-18,0.153357195771403,0.139061833421389,185.8,91,27.7996614583333,0.489773950484392,0.0333333333333333,6,2009
"345",2009-06-26,0.138777863833454,0.124752589811881,180,6,27.7338541666667,0.0333333333333333,0,6,2009
"346",2009-07-04,0.133794255569228,0.1224370226264,184,0,27.73015625,0,0.00555555555555556,7,2009
"347",2009-07-12,0.170717441476882,0.148697644472122,180,1,27.3679947916667,0.00555555555555556,0.00555555555555556,7,2009
"348",2009-07-20,0.142967605963349,0.124804571270943,180,1,27.1403385416667,0.00555555555555556,0.0495049504950495,7,2009
"349",2009-07-28,0.142225627942632,0.135701944430669,181.8,9,27.2793229166667,0.0495049504950495,0.478723404255319,7,2009
"350",2009-08-05,0.135758316403048,0.121960118412971,188,90,27.5118229166667,0.478723404255319,0.25,8,2009
"351",2009-08-13,0.116609088816009,0.0993807141979535,188,47,27.6059635416667,0.25,0,8,2009
"352",2009-08-21,0.180980359928475,0.149450115859509,176,0,26.9711458333333,0,0.0106382978723404,8,2009
"353",2009-08-29,0.231184110045433,0.235346299906572,188,2,26.7839583333333,0.0106382978723404,0,8,2009
"354",2009-09-06,0.222236284160916,0.228472128510475,188,0,27.3836979166667,0,0,9,2009
"355",2009-09-14,0.21668313891816,0.223753961424033,180,0,27.9297916666667,0,0.130434782608696,9,2009
"356",2009-09-22,0.139684814235402,0.12220878029863,184,24,28.232265625,0.130434782608696,0.148936170212766,9,2009
"357",2009-09-30,0.15675242047644,0.17789351940155,188,28,28.3809635416666,0.148936170212766,0.227272727272727,9,2009
"358",2009-10-08,0.149930240896841,0.115803883721431,176,40,28.775078125,0.227272727272727,0.0597826086956522,10,2009
"359",2009-10-16,0.146571708739632,0.12775931879878,184,11,28.9143489583333,0.0597826086956522,0.288461538461538,10,2009
"360",2009-10-24,0.125014217448061,0.120447573562463,156,45,28.8599479166666,0.288461538461538,0.302405498281787,10,2009
"361",2009-11-01,0.178062854088702,0.192490273714066,145.5,44,28.1574479166667,0.302405498281787,0.961171228516868,11,2009
"362",2009-11-09,0.18150506824255,NA,157.1,151,27.8008333333333,0.961171228516868,0.706521739130435,11,2009
"363",2009-11-17,0.205209767840204,0.169024447600047,184,130,28.0833072916666,0.706521739130435,0.281914893617021,11,2009
"364",2009-11-25,0.165965306106955,0.134349837899208,188,53,28.758984375,0.281914893617021,0.845744680851064,11,2009
"365",2009-12-03,0.246712921187282,0.273479677736759,188,159,28.8672135416667,0.845744680851064,1,12,2009
"366",2009-12-11,0.180849736039009,0.171838290989399,192,192,28.9347395833333,1,1,12,2009
"367",2009-12-19,0.160490835205682,0.152879570921262,180,180,28.948515625,1,0.974137931034483,12,2009
"368",2009-12-27,0.21260732126236,0.194561483959357,116,113,28.5138333333333,0.974137931034483,0.659574468085106,12,2009
"369",2010-01-01,0.16616535790203,0.134358003735542,188,124,28.1144010416667,0.659574468085106,0.19262520638415,1,2010
"370",2010-01-09,0.147476661402513,0.125546050568422,181.7,35,28.3892447916667,0.19262520638415,0.207667731629393,1,2010
