"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"116",2004-07-03,0.20519698107031,0.174739730854829,157.7,24,25.4484375,0.152187698161065,NA,7,2004
"117",2004-07-11,0.183219270372885,0.177758306264877,79.3,19,25.6767708333333,NA,NA,7,2004
"118",2004-07-19,0.204018216736302,0.187820762395859,0,0,25.8559548611111,NA,NA,7,2004
"119",2004-07-27,0.193256138952192,0.196484332283338,0,0,25.4794791666667,NA,NA,7,2004
"120",2004-08-04,0.182822818646119,0.172380690773328,0,0,25.4838888888889,NA,NA,8,2004
"121",2004-08-12,0.188607916039856,0.155537972847621,0,0,25.5675694444444,NA,NA,8,2004
"122",2004-08-20,0.20699726655258,0.18161296347777,0,0,25.5439583333333,NA,NA,8,2004
"123",2004-08-28,0.219089530981504,0.207929879426956,0,0,25.4359375,NA,NA,8,2004
"124",2004-09-05,0.189848034509591,0.141509093344212,0,0,26.1364409722222,NA,NA,9,2004
"125",2004-09-13,0.195563557882642,0.152477845549583,37.7,21,26.5535243055556,NA,0.880208333333333,9,2004
"126",2004-09-21,0.136248761876708,0.124458501736323,192,169,27.2890625,0.880208333333333,0.921875,9,2004
"127",2004-09-29,0.128179028050271,0.121011462062597,192,177,27.2584027777778,0.921875,0.908136482939633,9,2004
"128",2004-10-07,0.146731674238773,0.141547484944264,190.5,173,26.9740277777778,0.908136482939633,0.46875,10,2004
"129",2004-10-15,0.172444439892258,0.150841993590196,192,90,27.2031423611111,0.46875,0.651041666666667,10,2004
"130",2004-10-23,0.13143833733238,0.130034250517686,192,125,27.7751909722222,0.651041666666667,1,10,2004
"131",2004-10-31,0.127064707363851,0.114179655909538,190.9,190.9,28.3003472222222,1,0.65625,10,2004
"132",2004-11-08,0.126289144158363,0.126903501649698,192,126,28.4747048611111,0.65625,0.0104766893661603,11,2004
"133",2004-11-16,0.137400149990468,0.125222027301788,190.9,2,28.1515277777778,0.0104766893661603,0.015625,11,2004
"134",2004-11-24,0.170656223709767,0.163408440848192,192,3,27.9840277777778,0.015625,0.1875,11,2004
"135",2004-12-02,0.172392051865363,0.157000136872133,192,36,28.3800173611111,0.1875,0.682291666666667,12,2004
"136",2004-12-10,0.172751824259758,0.160263389348984,192,131,28.6310416666667,0.682291666666667,0.046875,12,2004
"137",2004-12-18,0.142740604484222,0.141308305164178,192,9,28.8461631944444,0.046875,0.159722222222222,12,2004
"138",2004-12-26,0.100479347076977,0.0778594054281712,144,23,28.8075925925926,0.159722222222222,0.03125,12,2004
"139",2005-01-01,0.0905193217416726,0.0774182714521885,192,6,28.7523611111111,0.03125,0,1,2005
"140",2005-01-09,0.0915337861377812,0.075042345871528,191.9,0,29.4158333333333,0,0.00520833333333333,1,2005
"141",2005-01-17,0.0840281392391547,0.0735945738852024,192,1,29.7875694444444,0.00520833333333333,0,1,2005
"142",2005-01-25,0.113043126196433,NA,192,0,29.20734375,0,0.255208333333333,1,2005
"143",2005-02-02,0.0735217678360641,0.0722559615969658,192,49,28.9714930555556,0.255208333333333,0,2,2005
"144",2005-02-10,0.0853586042283383,0.0643202140927315,192,0,28.7089930555556,0,0.0104166666666667,2,2005
"145",2005-02-18,0.0919357511447743,NA,192,2,29.0164930555556,0.0104166666666667,0,2,2005
"146",2005-02-26,0.091428816009908,0.08103288585941,192,0,30.2544270833333,0,0.00520833333333333,2,2005
"147",2005-03-06,0.0902019528418603,0.0808941709498564,192,1,30.3141493055556,0.00520833333333333,NA,3,2005
"148",2005-03-14,0.0871061347645415,0.0812958031892776,41.1,0,29.8987673611111,NA,0,3,2005
"149",2005-03-22,0.0848878163337355,0.0774604926506678,162.9,0,29.6397222222222,0,0.03125,3,2005
"150",2005-03-30,0.117934626127992,NA,192,6,29.0031597222222,0.03125,0,3,2005
"151",2005-04-07,0.0943140913263933,0.0800810555617015,192,0,29.6266666666667,0,0.140625,4,2005
"152",2005-04-15,0.0878819164836548,0.0814372462530931,192,27,29.6874826388889,0.140625,0,4,2005
"153",2005-04-23,0.107349619442067,0.0705169849097729,192,0,28.955625,0,0.00520833333333333,4,2005
"154",2005-05-01,0.125931028008996,0.118031274527311,192,1,28.5765798611111,0.00520833333333333,0.0104166666666667,5,2005
"155",2005-05-09,0.118948905028888,0.120120503008366,192,2,28.8216840277778,0.0104166666666667,0.0572916666666667,5,2005
"156",2005-05-17,0.120631251624733,0.113216333091259,192,11,28.7285590277778,0.0572916666666667,0.119791666666667,5,2005
"157",2005-05-25,0.128083906230136,0.120350494980812,192,23,28.6025868055556,0.119791666666667,0.223958333333333,5,2005
"158",2005-06-02,0.153883857848613,0.146188740928968,192,43,28.0104861111111,0.223958333333333,0.229166666666667,6,2005
